epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.57517,0.78081,0.76042,0.93659,0.89499,0.81051,0.90469,0.72271,0.88865,0.63139,0.97841,1.25e-05,1.25e-05,1.25e-05
2,127.856,0.79623,0.79801,0.94438,0.87485,0.81721,0.90545,0.72019,0.88712,0.63123,0.97695,2.69555e-05,2.69555e-05,2.69555e-05
3,129.774,0.77729,0.78943,0.93424,0.9188,0.77439,0.90122,0.71474,0.89416,0.63663,0.98,4.0817e-05,4.0817e-05,4.0817e-05
4,131.669,0.80308,0.79427,0.95573,0.88097,0.81301,0.90037,0.72117,0.8899,0.62394,0.97989,5.40845e-05,5.40845e-05,5.40845e-05
5,133.601,0.79249,0.78017,0.94768,0.89787,0.80622,0.90113,0.72046,0.88777,0.6175,0.97802,6.6758e-05,6.6758e-05,6.6758e-05
6,135.47,0.80163,0.80461,0.95567,0.92257,0.79878,0.89904,0.71687,0.89285,0.61984,0.97911,7.88375e-05,7.88375e-05,7.88375e-05
